Timestamp,Score,Which age group you belong to?,Which one of the following best describes you?,Which one of the following best describes you?,How good were you in school?,On a scale of 1-10 how do you feel about school days?,The side opposite to the right angle in a right angled triangle is?,What is Density of water?,In a neutral atom the number of protons is numerically equal to?,Which is the smallest country by area in the world?,What are the egg laying mammals left on Earth?,What is the deepest point on Earth?,Rabi crops are sown in the month of?,Which planet spins opposite to Earth?,In which sex is more likely to suffer from color blindness?,Optical fiber works on the principle of?,(e^(i*pi)) =
9/19/2020 19:15:12,8 / 11,Below 20,Male,Extrovert,Above Average,9,Hypotenuse,1000 kg/m³,Number of Electrons,Vatican City,Echidna,Challenger Deep,November,Jupiter,Male,Total Internal Reflection,-1
9/19/2020 19:16:45,6 / 11,20-30,Male,Introvert,Average,5,Hypotenuse,1027 kg/m³,Number of Electrons,Vatican City,Platypus,Puerto Rico Trench,May,Venus,Male,Total Internal Reflection,1
9/19/2020 19:18:56,9 / 11,Below 20,Male,Introvert,Above Average,9,Hypotenuse,997 kg/m³,Number of Electrons,Vatican City,Platypus,Challenger Deep,November,Venus,Male,Total Internal Reflection,1
9/19/2020 19:26:40,7 / 11,Below 20,Male,Introvert,Average,9,Hypotenuse,1000 kg/m³,Number of Electrons,Vatican City,Platypus,Tonga Trench,April,Venus,Male,Total Internal Reflection,-1
9/19/2020 19:27:19,5 / 11,20-30,Male,Extrovert,Extraordinary,10,Hypotenuse,1000 kg/m³,Number of Neutrons + Number of Electrons,Vatican City,Echidna,Puerto Rico Trench,November,Pluto,Male,Total Internal Reflection,1
9/19/2020 19:31:18,5 / 11,20-30,Male,Introvert,Above Average,9,I don't know,997 kg/m³,Number of Electrons,Vatican City,Obdurodon,Challenger Deep,April,Venus,Female,Oscillation,0
9/19/2020 19:53:31,5 / 11,20-30,Female,Ambivert,Above Average,10,Hypotenuse,997 kg/m³,Number of Neutrons + Number of Electrons,Marshall Islands,Platypus,Puerto Rico Trench,January,Venus,Male,Total Internal Reflection,Infinity
9/19/2020 20:02:51,5 / 11,Below 20,Female,Ambivert,Above Average,8,Hypotenuse,1000 kg/m³,Number of Neutrons,Marshall Islands,Platypus,Challenger Deep,May,Venus,Male,Total Internal Reflection,1
9/19/2020 20:05:43,5 / 11,20-30,Female,Introvert,Above Average,10,Hypotenuse,1000 kg/m³,Number of Electrons,Vatican City,Platypus,Puerto Rico Trench,April,Pluto,Male,Total Internal Reflection,0
9/19/2020 20:06:53,10 / 11,20-30,Female,Introvert,Extraordinary,10,Hypotenuse,997 kg/m³,Number of Electrons,Vatican City,Platypus,Challenger Deep,November,Venus,Male,Total Internal Reflection,-1
9/19/2020 20:08:48,5 / 11,Below 20,Female,Introvert,Average,9,Hypotenuse,1027 kg/m³,Number of Electrons,Vatican City,Platypus,Puerto Rico Trench,April,Jupiter,Male,Total Internal Reflection,Infinity
9/19/2020 20:16:18,11 / 11,20-30,Male,Ambivert,Above Average,10,Hypotenuse,997 kg/m³,Number of Electrons,Vatican City,"Echidna, Platypus",Challenger Deep,November,Venus,Male,Total Internal Reflection,-1
9/19/2020 20:17:43,10 / 11,20-30,Female,Introvert,Above Average,10,Hypotenuse,997 kg/m³,Number of Electrons,Vatican City,Platypus,Challenger Deep,November,Venus,Male,Total Internal Reflection,-1
9/19/2020 20:36:15,3 / 11,Below 20,Female,Introvert,Extraordinary,10,Hypotenuse,1000 kg/m³,Number of Electrons,Monaco,Platypus,Tonga Trench,May,Jupiter,Male,Radiation,Infinity
9/19/2020 20:42:46,8 / 11,20-30,Male,Introvert,Average,8,Hypotenuse,1027 kg/m³,Number of Electrons,Vatican City,Platypus,Challenger Deep,November,Venus,Male,Total Internal Reflection,Infinity
9/19/2020 20:50:40,10 / 11,20-30,Female,Introvert,Above Average,10,Hypotenuse,997 kg/m³,Number of Neutrons + Number of Electrons,Vatican City,"Echidna, Platypus",Challenger Deep,November,Venus,Male,Total Internal Reflection,-1
9/19/2020 20:53:11,10 / 11,20-30,Female,Introvert,Above Average,10,Hypotenuse,997 kg/m³,Number of Neutrons + Number of Electrons,Vatican City,"Echidna, Platypus",Challenger Deep,November,Venus,Male,Total Internal Reflection,-1
9/19/2020 20:53:14,10 / 11,20-30,Female,Introvert,Above Average,10,Hypotenuse,997 kg/m³,Number of Neutrons + Number of Electrons,Vatican City,"Echidna, Platypus",Challenger Deep,November,Venus,Male,Total Internal Reflection,-1
9/19/2020 21:54:29,5 / 11,20-30,Female,Introvert,Average,10,Hypotenuse,1000 kg/m³,Number of Neutrons + Number of Electrons,Vatican City,"Echidna, Platypus",Puerto Rico Trench,November,Jupiter,Female,Total Internal Reflection,Infinity
9/19/2020 22:45:44,6 / 11,20-30,Male,Ambivert,Below Average,8,Hypotenuse,997 kg/m³,Number of Neutrons,Marshall Islands,Platypus,Challenger Deep,January,Jupiter,Male,Total Internal Reflection,-1
9/19/2020 23:44:23,4 / 11,Below 20,Male,Ambivert,Average,8,Hypotenuse,997 kg/m³,Number of Neutrons,Marshall Islands,"Platypus, Obdurodon",Challenger Deep,April,Jupiter,Female,Oscillation,-1
9/20/2020 18:17:48,7 / 11,20-30,Female,Extrovert,Above Average,9,Hypotenuse,997 kg/m³,Number of Electrons,Vatican City,"Echidna, Platypus",Puerto Rico Trench,April,Venus,Male,Diffraction,Infinity
9/20/2020 18:28:37,7 / 11,50-60,Female,Ambivert,Extraordinary,8,Hypotenuse,997 kg/m³,Number of Electrons,Vatican City,Platypus,Puerto Rico Trench,November,Venus,Male,Diffraction,1
9/20/2020 18:36:48,3 / 11,40-50,Female,Extrovert,Above Average,10,Hypotenuse,1000 kg/m³,Number of Neutrons + Number of Electrons,Monaco,Platypus,Challenger Deep,May,Venus,Female,Diffraction,Infinity
9/21/2020 10:06:32,9 / 11,30-40,Male,Ambivert,Above Average,9,Hypotenuse,997 kg/m³,Number of Electrons,Vatican City,Echidna,Challenger Deep,November,Jupiter,Male,Total Internal Reflection,-1
9/21/2020 11:07:10,5 / 11,20-30,Male,Ambivert,Average,10,Hypotenuse,997 kg/m³,None/ Can't be determined.,Marshall Islands,Echidna,Puerto Rico Trench,April,Venus,Male,Total Internal Reflection,Infinity
9/21/2020 15:17:26,9 / 11,20-30,Female,Extrovert,Above Average,9,Hypotenuse,997 kg/m³,Number of Electrons,Vatican City,Platypus,Tonga Trench,November,Venus,Male,Total Internal Reflection,-1
9/21/2020 16:51:15,5 / 11,20-30,Female,Introvert,Extraordinary,8,Hypotenuse,997 kg/m³,Number of Electrons,Monaco,Platypus,Peru–Chile Trench,January,Mercury,Male,Total Internal Reflection,0
9/21/2020 16:57:08,8 / 11,Below 20,Female,Ambivert,Above Average,10,Hypotenuse,997 kg/m³,Number of Electrons,Vatican City,Obdurodon,Tonga Trench,November,Venus,Male,Total Internal Reflection,Infinity
9/21/2020 16:58:42,4 / 11,Below 20,Female,Introvert,Above Average,9,Hypotenuse,1000 kg/m³,Number of Electrons,Monaco,Platypus,Peru–Chile Trench,April,Jupiter,Male,Total Internal Reflection,Infinity
9/21/2020 17:02:02,7 / 11,Below 20,Male,Extrovert,Above Average,9,Hypotenuse,997 kg/m³,Number of Electrons,Vatican City,Platypus,Puerto Rico Trench,November,Venus,Male,Oscillation,Infinity
9/21/2020 17:13:18,4 / 11,Below 20,Male,Introvert,Above Average,8,Hypotenuse,997 kg/m³,Number of Neutrons,Monaco,Platypus,Peru–Chile Trench,May,Mercury,Male,Total Internal Reflection,0
9/21/2020 17:48:59,6 / 11,20-30,Female,Ambivert,Extraordinary,8,Adjacent,1000 kg/m³,Number of Electrons,Venezuela,Platypus,Challenger Deep,April,Venus,Male,Total Internal Reflection,-1
9/21/2020 17:51:07,10 / 11,Below 20,Female,Ambivert,Extraordinary,10,Hypotenuse,997 kg/m³,Number of Electrons,Vatican City,Platypus,Challenger Deep,November,Venus,Male,Total Internal Reflection,-1
9/21/2020 17:55:01,6 / 11,Below 20,Female,Ambivert,Above Average,9,Hypotenuse,1000 kg/m³,Number of Electrons,Vatican City,Platypus,Puerto Rico Trench,November,Pluto,Male,Total Internal Reflection,Infinity
9/21/2020 17:57:40,5 / 11,20-30,Female,Ambivert,Above Average,8,Hypotenuse,1000 kg/m³,Number of Neutrons,Vatican City,Platypus,Challenger Deep,November,Mercury,Male,Radiation,1
9/21/2020 17:59:55,7 / 11,Below 20,Female,Ambivert,Extraordinary,9,Hypotenuse,1000 kg/m³,Number of Electrons,Vatican City,Platypus,Peru–Chile Trench,January,Venus,Male,Total Internal Reflection,-1
9/21/2020 18:01:06,5 / 11,Below 20,Female,Extrovert,Average,10,Hypotenuse,997 kg/m³,Number of Electrons,Monaco,Platypus,Peru–Chile Trench,May,Mercury,Male,Total Internal Reflection,0
9/21/2020 18:01:44,4 / 11,Below 20,Male,Extrovert,Extraordinary,9,Hypotenuse,1000 kg/m³,Number of Electrons,Monaco,Platypus,Puerto Rico Trench,November,Jupiter,Male,Oscillation,Infinity
9/21/2020 18:05:07,9 / 11,Below 20,Female,Extrovert,Above Average,8,Hypotenuse,997 kg/m³,Number of Neutrons,Vatican City,Echidna,Challenger Deep,November,Venus,Male,Total Internal Reflection,-1
9/21/2020 18:14:04,6 / 11,Below 20,Female,Extrovert,Extraordinary,7,Hypotenuse,997 kg/m³,Number of Neutrons,Vatican City,"Echidna, Obdurodon",Peru–Chile Trench,May,Venus,Male,Total Internal Reflection,1
9/21/2020 18:19:50,7 / 11,Below 20,Prefer not to say,Ambivert,Above Average,9,Hypotenuse,997 kg/m³,Number of Neutrons + Number of Electrons,Vatican City,"Platypus, Obdurodon",Peru–Chile Trench,April,Venus,Male,Total Internal Reflection,-1
9/21/2020 18:32:44,8 / 11,Below 20,Male,Extrovert,Average,8,Hypotenuse,1000 kg/m³,Number of Electrons,Vatican City,"Echidna, Platypus",Challenger Deep,April,Venus,Male,Total Internal Reflection,0
9/21/2020 18:32:27,10 / 11,Below 20,Female,Extrovert,Above Average,10,Hypotenuse,997 kg/m³,Number of Electrons,Vatican City,Echidna,Challenger Deep,November,Venus,Male,Total Internal Reflection,-1
9/21/2020 18:37:11,4 / 11,Below 20,Female,Extrovert,Average,6,Hypotenuse,1000 kg/m³,Number of Neutrons,Vatican City,Echidna,Peru–Chile Trench,January,Venus,Male,Diffraction,1
9/21/2020 18:41:19,6 / 11,Below 20,Male,Ambivert,Above Average,9,Hypotenuse,997 kg/m³,Number of Neutrons,Malta,"Echidna, Platypus",Puerto Rico Trench,November,Venus,Male,Diffraction,1
9/21/2020 18:45:25,6 / 11,20-30,Male,Introvert,Above Average,8,Adjacent,1000 kg/m³,Number of Electrons,Vatican City,Platypus,Puerto Rico Trench,November,Venus,Male,Total Internal Reflection,0
9/21/2020 18:50:28,6 / 11,Below 20,Male,Introvert,Above Average,6,Hypotenuse,1000 kg/m³,Number of Neutrons,Vatican City,"Echidna, Platypus",Tonga Trench,January,Venus,Male,Total Internal Reflection,Infinity
9/21/2020 18:51:40,9 / 11,Below 20,Female,Ambivert,Above Average,10,Hypotenuse,997 kg/m³,Number of Neutrons,Vatican City,"Echidna, Platypus",Challenger Deep,April,Venus,Male,Total Internal Reflection,-1
9/21/2020 18:59:59,9 / 11,Below 20,Male,Extrovert,Above Average,7,Hypotenuse,994 kg/m³,Number of Neutrons,Vatican City,"Echidna, Platypus",Challenger Deep,November,Venus,Male,Total Internal Reflection,-1
9/21/2020 19:01:49,8 / 11,20-30,Male,Introvert,Extraordinary,10,Base,997 kg/m³,Number of Electrons,Vatican City,"Echidna, Platypus",Challenger Deep,April,Venus,Female,Total Internal Reflection,-1
9/21/2020 19:07:50,7 / 11,Below 20,Female,Ambivert,Above Average,10,Hypotenuse,1000 kg/m³,Number of Neutrons,Vatican City,Platypus,Peru–Chile Trench,November,Venus,Male,Total Internal Reflection,-1
9/21/2020 19:14:00,4 / 11,Below 20,Male,Introvert,Average,7,Hypotenuse,1000 kg/m³,Number of Neutrons,Vatican City,"Echidna, Platypus, Obdurodon",Puerto Rico Trench,May,Pluto,Male,Total Internal Reflection,0
9/21/2020 19:15:54,10 / 11,20-30,Female,Introvert,Extraordinary,6,Hypotenuse,997 kg/m³,Number of Electrons,Vatican City,Platypus,Challenger Deep,November,Venus,Male,Total Internal Reflection,-1
9/21/2020 19:18:27,5 / 11,20-30,Female,Introvert,Average,6,Hypotenuse,1000 kg/m³,Number of Electrons,Malta,Platypus,Challenger Deep,April,Mercury,Male,Total Internal Reflection,Infinity
9/21/2020 19:28:04,6 / 11,Below 20,Male,Introvert,Extraordinary,5,Hypotenuse,1000 kg/m³,None/ Can't be determined.,Malta,"Echidna, Platypus, Obdurodon",Challenger Deep,April,Venus,Male,Total Internal Reflection,-1
9/21/2020 19:30:50,6 / 11,Below 20,Prefer not to say,Ambivert,Average,9,Hypotenuse,1000 kg/m³,Number of Neutrons,Vatican City,Platypus,Challenger Deep,April,Jupiter,Male,Total Internal Reflection,-1
9/21/2020 19:36:27,4 / 11,20-30,Male,Extrovert,Above Average,8,Hypotenuse,997 kg/m³,Number of Neutrons + Number of Electrons,Vatican City,Platypus,Peru–Chile Trench,January,Jupiter,Female,Total Internal Reflection,0
9/21/2020 20:21:15,5 / 11,20-30,Male,Introvert,Above Average,8,Hypotenuse,1000 kg/m³,Number of Neutrons + Number of Electrons,Venezuela,Platypus,Puerto Rico Trench,November,Venus,Male,Total Internal Reflection,1
9/21/2020 23:45:00,3 / 11,20-30,Male,Introvert,Average,10,Hypotenuse,1000 kg/m³,Number of Neutrons + Number of Electrons,Venezuela,Platypus,Puerto Rico Trench,April,Pluto,Male,Total Internal Reflection,0
9/22/2020 11:05:02,8 / 11,20-30,Female,Ambivert,Above Average,10,Hypotenuse,997 kg/m³,Number of Neutrons + Number of Electrons,Vatican City,"Echidna, Platypus",Tonga Trench,April,Venus,Male,Total Internal Reflection,-1
9/22/2020 16:00:02,8 / 11,Below 20,Female,Ambivert,Extraordinary,9,Hypotenuse,997 kg/m³,Number of Electrons,Marshall Islands,Platypus,Tonga Trench,November,Venus,Male,Total Internal Reflection,-1
9/22/2020 22:35:48,2 / 11,20-30,Male,Ambivert,Below Average,4,Adjacent,994 kg/m³,Number of Neutrons,Monaco,Echidna,Peru–Chile Trench,January,Venus,Male,Diffraction,1
12/4/2020 19:55:50,5 / 11,20-30,Male,Introvert,Above Average,10,Hypotenuse,997 kg/m³,Number of Neutrons + Number of Electrons,Venezuela,Platypus,Peru–Chile Trench,May,Mercury,Male,Total Internal Reflection,-1
12/4/2020 20:34:40,4 / 11,Below 20,Male,Introvert,Above Average,1,Hypotenuse,1027 kg/m³,Number of Electrons,Marshall Islands,Platypus,Peru–Chile Trench,April,Venus,Male,Diffraction,1
12/4/2020 21:50:15,4 / 11,20-30,Male,Introvert,Above Average,9,Hypotenuse,1000 kg/m³,Number of Electrons,Venezuela,Platypus,Challenger Deep,April,Venus,Female,Diffraction,1
